is_source_empty,is_source_punctuation_only,num_source_tokens,is_source_dictionary_words,is_target_empty,is_target_punctuation_only,num_target_tokens,edit_distance,error_class
0,0,1,1,0,0,1,0.0,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.0,0
0,1,1,0,0,1,1,0.0,1
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.6666666666666666,0
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.8,0
0,0,1,1,0,0,1,0.75,0
0,0,1,1,0,0,1,0.625,2
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.75,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.8571428571428571,0
0,0,1,0,0,0,1,0.8,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.8333333333333334,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.9090909090909091,0
0,0,2,1,0,0,2,0.0,2
0,0,1,1,0,0,1,0.8333333333333334,0
0,1,1,0,0,1,1,0.0,1
0,0,1,0,0,0,1,0.8333333333333334,0
0,0,1,0,0,0,1,0.75,0
0,0,1,1,0,0,1,0.0,0
0,0,2,1,0,0,2,0.18181818181818182,9
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.9090909090909091,7
0,0,1,1,0,0,1,0.4,2
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,2,1,0,0,2,0.9,0
0,0,2,1,0,0,2,0.7142857142857143,3
0,1,1,0,0,1,1,0.0,1
0,0,3,1,0,0,3,0.6666666666666666,2
0,0,1,1,0,0,1,0.875,2
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,3,1,0,0,3,0.7391304347826086,2
0,0,1,1,0,0,1,0.6666666666666666,0
0,1,1,0,0,1,1,0.0,1
0,0,1,0,0,0,1,0.8888888888888888,0
1,0,0,1,1,0,0,0.0,12
0,0,1,1,0,0,1,0.0,0
0,0,1,0,0,0,1,0.75,0
0,0,1,1,0,0,1,0.5714285714285714,2
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.8,0
0,1,1,0,0,1,1,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.9,0
0,0,1,1,0,0,1,0.0,0
1,0,0,1,1,0,0,0.0,12
0,0,4,0,0,0,4,0.0,12
0,0,1,1,0,0,1,0.8,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.0,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.75,0
0,0,1,0,0,0,1,0.8571428571428571,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.0,10
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.0,14
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.6666666666666666,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.0,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,1,1,0,0,1,1,0.0,1
0,1,1,0,0,1,1,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.3333333333333333,14
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.75,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.8571428571428571,0
0,0,1,0,0,0,1,0.8,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,1,1,0,0,1,1,0.0,1
0,0,3,1,0,0,3,0.5454545454545454,10
0,0,1,1,0,0,1,0.9090909090909091,0
0,0,1,1,0,0,1,0.8333333333333334,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.2,14
0,0,1,0,0,0,1,0.75,0
0,0,1,1,0,0,1,0.0,12
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.4,12
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,2,1,0,0,2,0.9,0
0,0,2,1,0,0,2,0.7142857142857143,3
0,1,1,0,0,1,1,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,5,1,0,0,5,0.7692307692307693,2
1,0,0,1,1,0,0,0.0,1
0,1,1,0,0,1,1,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.8888888888888888,0
0,0,1,0,0,0,1,0.75,0
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.8571428571428571,0
0,0,1,0,0,0,1,0.9,0
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.9090909090909091,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.8333333333333334,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.75,0
0,0,1,0,0,0,1,0.8571428571428571,0
1,0,0,1,1,0,0,0.0,1
0,0,1,1,0,0,1,0.0,10
1,0,0,1,1,0,0,0.0,1
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.8181818181818182,7
1,0,0,1,1,0,0,0.0,1
0,1,1,0,0,1,1,0.0,1
1,0,0,1,1,0,0,0.0,1
0,1,1,0,0,1,1,0.0,1
0,1,1,0,0,1,1,0.0,1
0,1,1,0,0,1,1,0.0,1
0,0,1,1,0,0,1,0.75,2
0,0,1,0,0,0,1,0.8571428571428571,0
0,0,1,1,0,0,1,0.8,0
0,0,0,1,0,0,0,0.5,1
0,0,1,1,0,0,1,0.0,14
0,0,1,1,0,0,1,0.5714285714285714,2
1,0,0,1,1,0,0,0.0,1
0,0,3,1,0,0,3,0.07142857142857142,10
0,0,1,1,0,0,1,0.875,0
0,0,1,1,0,0,1,0.5,0
1,0,0,1,1,0,0,0.0,1
0,0,1,0,0,0,1,0.8181818181818182,2
